SummaryName,Wedge,Midstream,Reason,Comments,SummaryDate,LEName,GFOForecastName,MonthlyAvgMBOED,QuarterlyAvgMBOED,AnnualAvgMBOED,MonthlyGFOMBOED,QuarterlyGFOMBOED,AnnualGFOMBOED,MonthlyVariance,QuarterlyVariance,AnnualVariance,Update_Date,Update_User
Total_Test_Summary_July_3,2018 NWD,,,,2019-07-20 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,38.9496,37.44993,37.13448,41.95672,38.41587,38.43353,-3.00712,-0.9659352,-1.299057,2019-09-30 09:05:19.000,Travis Comer
Total_Test_Summary_July_3,2019 NWD,,,,2019-07-20 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,27.28,29.68504,21.08914,29.17609,30.33826,21.74837,-1.89609,-0.6532187,-0.6592278,2019-09-30 09:05:19.000,Travis Comer
Total_Test_Summary_July_3,Base,,,,2019-07-20 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,26.7625,25.33752,28.57744,27.84923,25.71337,26.70717,-1.086731,-0.3758513,1.870275,2019-09-30 09:05:19.000,Travis Comer
Total_Test_Summary_July_4,2018 NWD,,,,2019-07-22 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,38.76522,37.38914,37.11624,41.95672,38.41587,38.43353,-3.191506,-1.026722,-1.317291,2019-09-30 09:35:02.000,Travis Comer
Total_Test_Summary_July_4,2019 NWD,,,,2019-07-22 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,27.19421,29.65676,21.08391,29.17609,30.33826,21.74837,-1.981884,-0.6815026,-0.6644584,2019-09-30 09:35:02.000,Travis Comer
Total_Test_Summary_July_4,Base,,,,2019-07-22 00:00:00.000,Test_Create_Total_July,Travis_Internal_GFOForecast,27.50321,25.58171,28.63755,27.84923,25.71337,26.70717,-0.3460248,-0.1316623,1.930384,2019-09-30 09:35:02.000,Travis Comer
